,Rank,Wine,Winery,Vintage,Score,Price,Notes,ListYear
49,2,Château Margaux Margaux +,Château Margaux,1985,99,76.0,"A beautifully structured and proportioned wine, soft yet rich with cascading flavors of ripe plum, cherry and cassis that are perfectly integrated with toasty oak, firm acidity and firm but polished tannins. Finish is long, full and deep. —",1988
50,66,Château La Croix Pomerol +,Château La Croix,1985,93,25.0,"Rich and powerful yet elegant and decadent with lush chocolate, cherry, cur rant and tarry flavors that are vivid and enticing. The flavors are well in tegrated. The thick tannins take over on the finish. Should be a beauty in three to five years. —",1988
51,86,Saintsbury Pinot Noir Carneros +,Saintsbury,1986,92,14.0,"Distinct and well proportioned, rich and tasty with ripe strawberry, cherry, spice and oaky flavors that add up to complexity and dimension. The flavors stay with you from start to finish. Has enough tannin for three to five years in the cellar. —",1988
52,71,Moillard Echézeaux +,Moillard,1985,94,47.0,"Rich in flavor, highly polished and concentrated, with black cherry, plum, currant, spice, and a lovely touch of oak, put together with subtlety and g race. Power with elegance. —",1988
53,64,Clos René Pomerol +,Clos René,1985,92,17.0,—,1988
54,48,Louis Jadot Bonnes Mares +,Louis Jadot,1985,95,48.0,"From the dense color to the intense aroma and the rich, complex flavors of strawberry, plum, rose petal and toast, this powerful but beautifully balanced wine commands your attention and delivers everything it has, with fines se. At the price, it s still a good value. —",1988
55,33,Méo-Camuzet Richebourg +,Méo-Camuzet,1985,97,235.0,"Intense, beautifully focused and concentrated, exquisitely balancing raspbe rry fruit with smoky, meaty aromas and flavors, magnificent structure and h armony of texture and flavors, exploding on the palate and echoing forever. —",1988
56,92,Christian Brothers Cabernet Sauvignon Napa Valley +,Christian Brothers,1985,90,8.0,"Flavorful, concentrated and artfully balanced. Marvelously ripe cherry, cassis and plum flavors play elegantly against a smoky, herbal edge in the nose and on the palate. It's drinkable now but there's plenty of tannin to suggest cellaring for three to five years. —",1988
57,4,Tollot-Beaut Corton +,Tollot-Beaut,1985,97,75.0,"Rich, rough and magnificently complex, a powerful wine with cascading plum, cedar, chocolate, decaying violets, smoke, and on and on. With a supple te xture underneath the tannin, this one is what Corton is all about. —",1988
58,38,Château Pichon-Longueville Baron Pauillac +,Château Pichon-Longueville Baron,1985,94,32.0,"Elegant and stylish with rich concentated cassis, plum, currant and toasty flavors that hang together on a lean, tight framework. It's very well balanced, showing compleixities and nuances that linger on the palate. —",1988
59,9,Château d'Yquem Sauternes +,Château d'Yquem,1983,97,120.0,"Utterly magnificent, a very great wine, certainly the best Yquem since 1975 . Every sip brings out another set of nuances, and the aftertaste goes on forever. Deep gold, unbelievably concentrated and flavorful, yet superbly balanced. —",1988
